superkingdom,phylum,class,order,family,genus,species,year,status,reference
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,simiae,1965,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,parkeri,1965,established,"Whitman, Timothy J., et al. ""Rickettsia parkeri infection after tick bite, Virginia."" Emerging infectious diseases 13.2 (2007): 334."
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,atypica,1965,established,Taylor et al
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,dispar,1965,established,Taylor et al
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,vulgaris,1966,putative,"Akshatha, R., et al. ""Uncommon isolation of Desulfovibrio vulgaris from a depressed fracture wound on the forehead."" Anaerobe 65 (2020): 102264."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,cancerogenus,1966,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,saburreum,1966,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,grayi,1966,established,"Rapose, A., S. D. Lick, and N. Ismail. ""Listeria grayi bacteremia in a heart transplant recipient."" Transplant Infectious Disease 10.6 (2008): 434-436."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,gastri,1966,established,"Velayati, Ali Akbar, et al. ""Mycobacterium gastri causing disseminated infection in children of same family."" Pediatric pulmonology 39.3 (2005): 284-287."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,terrae,1966,established,"Smith, D. Scott, et al. ""Mycobacterium terrae: case reports, literature review, and in vitro antibiotic susceptibility testing."" Clinical infectious diseases 30.3 (2000): 444-453."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,thermoresistibile,1966,established,"Neonakis, I. K., et al. ""Mycobacterium thermoresistibile: case report of a rarely isolated mycobacterium from Europe and review of literature."" Indian journal of medical microbiology 27.3 (2009): 264-267."
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,pseudoalcaligenes,1966,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,suis,1966,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,glumae,1967,putative,"Weinberg, Jason B., et al. ""Burkholderia glumae infection in an infant with chronic granulomatous disease."" Journal of clinical microbiology 45.2 (2007): 662-665."
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,avium,1967,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,osloensis,1967,established,Taylor et al
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,felis,1967,putative,"Bonilla, Hector F., et al. ""Mycoplasma felis septic arthritis in a patient with hypogammaglobulinemia."" Clinical infectious diseases 24.2 (1997): 222-225."
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,phenylpyruvicus,1967,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,aphrophilus,1968,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,canis,1968,established,"Lucero, N. E., et al. ""Human Brucella canis outbreak linked to infection in dogs."" Epidemiology & Infection 138.2 (2010): 280-285."
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,kingae,1968,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,rhamnosus ,1968,established,"Kalima, P., et al. ""Lactobacillus rhamnosus infection in a child following bone marrow transplant."" The Journal of infection 32.2 (1996): 165-167."
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,arginini,1968,established,"Yechouron, Ariane, et al. ""Fatal septicemia due to Mycoplasma arginini: a new human zoonosis."" Clinical infectious diseases 15.3 (1992): 434-438."
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,fermentans,1969,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,philomiragia,1969,established,"Kreitmann, Louis, et al. ""Disseminated infection caused by Francisella philomiragia, France, 2014."" Emerging infectious diseases 21.12 (2015): 2260."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,africanum,1969,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,lactamica,1969,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,confusa,1969,established,"Lee, M-R., et al. ""Bacteraemia caused by Weissella confusa at a university hospital in Taiwan, 1997–2007."" Clinical microbiology and infection 17.8 (2011): 1226-1231."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,koseri,1970,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,jensenii,1970,established,"Suárez-García, I., et al. ""Lactobacillus jensenii bacteremia and endocarditis after dilatation and curettage: case report and literature review."" Infection 40.2 (2012): 219-222."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,bovis,1970,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,triviale,1970,established,"Dechairo, D. C., et al. ""Septic arthritis due to Mycobacterium triviale."" American Review of Respiratory Disease 108.5 (1973): 1224-1226."
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,elongata,1970,established,Taylor et al
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella,urethralis,1970,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,asaccharolytica,1970,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,intermedia,1970,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,mendocina,1970,established,"Gani, Melony, et al. ""Pseudomonas mendocina bacteremia: A case study and review of literature."" The American journal of case reports 20 (2019): 453."
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,xylosoxidans,1971,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,amalonaticus,1971,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,bronchialis,1971,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,terrae,1971,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,paraphrohaemolyticus,1971,established,"Le Floch, Anne-Sophie, et al. ""Haemophilus parahaemolyticus septic shock after aspiration pneumonia, France."" Emerging infectious diseases 19.10 (2013): 1694."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,asiaticum,1971,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,rhodesiae,1971,established,"Tsukamura, Michio, et al. ""Mycobacterium rhodesiae sp. nov. A new species of rapid-growing scotochromogenic mycobacteria."" Japanese journal of microbiology 15.5 (1971): 407-416."
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,venusta,1972,putative,"von Graevenitz, Alexander, et al. ""Human infection with Halomonas venusta following fish bite."" Journal of clinical microbiology 38.8 (2000): 3123-3124."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,neoaurum,1972,established,"Washer, Laraine L., et al. ""Mycobacterium neoaurum bloodstream infection: report of 4 cases and review of the literature."" Clinical Infectious Diseases 45.2 (2007): e10-e13."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,szulgai,1972,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,corynebacterioides,1972,putative,"Kitamura, Yuka, et al. ""First report of sepsis caused by Rhodococcus corynebacterioides in a patient with myelodysplastic syndrome."" Journal of clinical microbiology 50.3 (2012): 1089-1091."
Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,oculi,1973,putative,"Waites, Ken B., et al. ""Isolation of Acholeplasma oculi from human amniotic fluid in early pregnancy."" Current Microbiology 15.6 (1987): 325-327."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,farcinogenes,1973,established,"Wong, Tak-Chuen, et al. ""Mycobacterium farcinogenes infection after total hip arthroplasty."" The Journal of arthroplasty 20.5 (2005): 684-687."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,senegalense,1973,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,tokaiense,1973,established,"Kondo, Akihide, et al. ""Caseous Necrotic Granuloma in the Pituitary Stalk Due to Nontuberculous Mycobacteria (Mycobacterium Tokaiense) Infection."" Neurologia medico-chirurgica 46.2 (2006): 80-83."
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,pickettii,1973,established,"Verschraegen, G., et al. ""Pseudomonas pickettii as a cause of pseudobacteremia."" Journal of clinical microbiology 21.2 (1985): 278-279."
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,pickettii,1973,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,eggerthii,1974,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,dentium,1974,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,celatum,1974,putative,"Agergaard, Charlotte Nielsen, et al. ""Two serious cases of infection with Clostridium celatum after 40 years in hiding?."" Journal of clinical microbiology 54.1 (2016): 236-238."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,amarae,1974,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,kristinae,1974,established,"Ma, Edmond SK, et al. ""Kocuria kristinae infection associated with acute cholecystitis."" BMC Infectious Diseases 5.1 (2005): 1-3."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,gadium,1974,putative,"Casal, M., and Calero Rey. ""Mycobacterium gadium sp. nov. a new species of rapid-growing scotochromogenic mycobacteria."" Tubercle 55.4 (1974): 299-308."
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,aerogenes,1974,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sobrinus,1974,established,Taylor et al
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,urealyticum,1974,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,splanchnicus,1975,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,shimoidei,1975,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,splanchnicus,1975,established,"Hardham, John M., et al. ""Transfer of Bacteroides splanchnicus to Odoribacter gen. nov. as Odoribacter splanchnicus comb. nov., and description of Odoribacter denticanis sp. nov., isolated from the crevicular spaces of canine periodontitis patients."" International journal of systematic and evolutionary microbiology 58.1 (2008): 103-109."
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,capitis,1975,established,"Van Der Zwet, Wil C., et al. ""Nosocomial spread of a Staphylococcus capitis strain with heteroresistance to vancomycin in a neonatal intensive care unit."" Journal of Clinical Microbiology 40.7 (2002): 2520-2525."
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,cohnii,1975,established,"Basaglia, Giancarlo, et al. ""Staphylococcus cohnii septicaemia in a patient with colon cancer."" Journal of medical microbiology 52.1 (2003): 101-102."
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,haemolyticus,1975,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,hominis,1975,established,"Palazzo, Izabel Cristina Vanzato, et al. ""Staphylococcus hominis subsp. novobiosepticus strains causing nosocomial bloodstream infection in Brazil."" Journal of antimicrobial chemotherapy 62.6 (2008): 1222-1226."
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,simulans,1975,established,"Shields, Bridget E., Amanda J. Tschetter, and Karolyn A. Wanat. ""Staphylococcus simulans: An emerging cutaneous pathogen."" JAAD case reports 2.6 (2016): 428."
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,warneri,1975,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,xylosus,1975,established,"Giordano, Nicola, et al. ""Erythema nodosum associated with Staphylococcus xylosus septicemia."" Journal of Microbiology, Immunology and Infection 49.1 (2016): 134-137."
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,succiniciproducens,1976,established,"Rudensky, Bernard, et al. ""Anaerobiospirillum succiniciproducens bacteremia in a young child."" The Pediatric infectious disease journal 21.6 (2002): 575-576."
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,denitrificans,1976,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,atlantae,1976,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,gnavus,1976,established,"Roux, Anne-Laure, et al. ""Ruminococcus gnavus total hip arthroplasty infection in a 62-year-old man with ulcerative colitis."" Journal of clinical microbiology 53.4 (2015): 1428-1430."
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,intermedius,1976,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,lentus,1976,established,"Rivera, Maite, et al. ""Staphylococcus lentus peritonitis: a case report."" Peritoneal dialysis international: journal of the International Society for Peritoneal Dialysis 34.4 (2014): 469."
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,sciuri,1976,established,"Stepanović, Srdjan, et al. ""Surgical wound infection associated with Staphylococcus sciuri."" Scandinavian journal of infectious diseases 34.9 (2002): 685-686."
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,iniae,1976,established,"Koh, Tse Hsien, Asok Kurup, and John Chen. ""Streptococcus iniae discitis in Singapore."" Emerging infectious diseases 10.9 (2004): 1694."
Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Suttonella,indologenes,1976,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,segnis,1977,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,malmoense,1977,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,bivia,1977,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,disiens,1977,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,paucimobilis,1977,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,criceti,1977,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ureolyticus,1978,established,Taylor et al
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus,1978,established,"Serichantalergs, Oralak, et al. ""Incidence of Campylobacter concisus and C. ureolyticus in traveler’s diarrhea cases and asymptomatic controls in Nepal and Thailand."" Gut pathogens 9.1 (2017): 1-7."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,haemophilum,1978,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,odorifera,1978,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,ruckeri,1978,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,casseliflavus,1979,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,pneumophila,1979,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,innocua,1979,established,"Favaro, Marco, et al. ""First case of Listeria innocua meningitis in a patient on steroids and eternecept."" JMM case reports 1.2 (2014): e003103."
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,mesophilicum,1979,established,"Sanders, John W., et al. ""Methylobacterium mesophilicum infection: case report and literature review of an unusual opportunistic pathogen."" Clinical Infectious Diseases 30.6 (2000): 936-938."
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,rhodnii,1979,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,fonticola,1979,established,"Bollet, C. L. A. U. D. E., et al. ""Serratia fonticola isolated from a leg abscess."" Journal of clinical microbiology 29.4 (1991): 834-835."
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,vulnificus,1979,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,sakazakii,1980,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,brachy,1980,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,nodatum,1980,established,Taylor et al
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,timidum,1980,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Fluoribacter,bozemanae,1980,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Fluoribacter,dumoffii,1980,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Fluoribacter,gormanii,1980,established,Taylor et al
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,gasseri,1980,established,"Dickgiesser, U., N. Weiss, and D. Fritsche. ""Lactobacillus gasseri as the cause of septic urinary infection."" Infection 12.1 (1984): 14-16."
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,bozemanii,1980,established,"PARRY, MICHAEL F., et al. ""Waterborne Legionella bozemanii and nosocomial pneumonia in immunosuppressed patients."" Annals of internal medicine 103.2 (1985): 205-210."
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,gormanii,1980,established,"Morris, George K., et al. ""Legionella gormanii sp. nov."" Journal of clinical microbiology 12.5 (1980): 718-721."
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Mogibacterium,timidum,1980,established,"Casarin, Renato Corrêa Viana, et al. ""Detection of Mogibacterium timidum in subgingival biofilm of aggressive and non-diabetic and diabetic chronic periodontitis patients."" Brazilian Journal of Microbiology 43 (2012): 931-937."
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pluralibacter,gergoviae,1980,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,gingivalis,1980,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,macacae,1980,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Tatlockia,micdadei,1980,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,sobria,1981,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,gracilis,1981,established,"Tanner, A. C. R., et al. ""Wolinella recta, Campylobacter concisus, Bacteroides gracilis, and Eikeneila corrodens from periodontal lesions."" Journal of periodontal research 22.4 (1987): 327-330."
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cepacia,1981,established,Taylor et al
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,concisus,1981,established,Taylor et al
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,gracilis,1981,established,Taylor et al
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,mucosalis,1981,established,"Figura, Natale, et al. ""Two cases of Campylobacter mucosalis enteritis in children."" Journal of clinical microbiology 31.3 (1993): 727-728."
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,rectus,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,davisae,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,lapagei,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,hoshinae,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,ascorbata,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,cryocrescens,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia ,amnigena,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,aquatilis,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,ficaria,1981,established,Taylor et al
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,multivorum,1981,established,"Barahona, F., and J. Slim. ""Sphingobacterium multivorum: case report and literature review."" New microbes and new infections 7 (2015): 33-36."
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,maltophilia,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,fluvialis,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,frederiksenii,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,intermedia,1981,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,kristensenii,1981,established,Taylor et al
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,vinsonii,1982,established,"Roux, Véronique, et al. ""Bartonella vinsonii subsp. berkhoffii as an agent of afebrile blood culture-negative endocarditis in a human."" Journal of Clinical Microbiology 38.4 (2000): 1698-1700."
Bacteria,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,aalborgi,1982,established,"Hovind-Hougen, K., et al. ""Intestinal spirochetosis: morphological characterization and cultivation of the spirochete Brachyspira aalborgi gen. nov., sp. nov."" Journal of Clinical Microbiology 16.6 (1982): 1127-1136."
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,gingivalis,1982,established,Taylor et al
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sputigena,1982,established,Taylor et al
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,maris,1982,established,"Bemer-Melchior, P., et al. ""Bacteremia due to Dietzia maris in an immunocompromised patient."" Clinical infectious diseases 29.5 (1999): 1338-1340."
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Empedobacter,brevis,1982,established,"Janknecht, P., C. Schneider, and T. Ness. ""Outbreak of Empedobacter brevis endophthalmitis after cataract extraction."" Graefe's archive for clinical and experimental ophthalmology 240.4 (2002): 291-295."
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,gallinarum,1982,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,vulneris,1982,established,"Brenner, Don J., et al. ""Escherichia vulneris: a new species of Enterobacteriaceae associated with human wounds."" Journal of Clinical Microbiology 15.6 (1982): 1133-1140."
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,jordanis,1982,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,longbeachae,1982,established,Taylor et al
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,damselae,1982,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccae,1982,established,Taylor et al
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccalis,1982,established,Taylor et al
